Seq 0 , 2.00
Seq 1 , 3.00
Seq 262 , 1.23ms, Time Mon Mar  7 10:00:44 2016

Seq 263 , 1.51ms, Time Mon Mar  7 10:00:45 2016

Seq 264 , 1.33ms, Time Mon Mar  7 10:00:46 2016

Seq 265 , 1.26ms, Time Mon Mar  7 10:00:47 2016

Seq 266 , 1.26ms, Time Mon Mar  7 10:00:48 2016

Seq 267 , 1.27ms, Time Mon Mar  7 10:00:49 2016

Seq 268 , 1.23ms, Time Mon Mar  7 10:00:50 2016

Seq 269 , 1.42ms, Time Mon Mar  7 10:00:51 2016

Seq 270 , 1.22ms, Time Mon Mar  7 10:00:52 2016

Seq 271 , 1.25ms, Time Mon Mar  7 10:00:53 2016

Seq 272 , 1.31ms, Time Mon Mar  7 10:00:54 2016

Seq 273 , 1.30ms, Time Mon Mar  7 10:00:55 2016

Seq 274 , 1.25ms, Time Mon Mar  7 10:00:56 2016

Seq 275 , 1.47ms, Time Mon Mar  7 10:00:57 2016

Seq 276 , 1.24ms, Time Mon Mar  7 10:00:58 2016

Seq 277 , 1.23ms, Time Mon Mar  7 10:00:59 2016

Seq 278 , 1.23ms, Time Mon Mar  7 10:01:00 2016

Seq 279 , 1.27ms, Time Mon Mar  7 10:01:01 2016

Seq 280 , 1.23ms, Time Mon Mar  7 10:01:02 2016

Seq 281 , 1.25ms, Time Mon Mar  7 10:01:03 2016

Seq 282 , 1.21ms, Time Mon Mar  7 10:01:04 2016

Seq 283 , 1.25ms, Time Mon Mar  7 10:01:05 2016

Seq 284 , 1.23ms, Time Mon Mar  7 10:01:06 2016

Seq 285 , 1.45ms, Time Mon Mar  7 10:01:07 2016

Seq 286 , 1.28ms, Time Mon Mar  7 10:01:08 2016

Seq 287 , 1.54ms, Time Mon Mar  7 10:01:09 2016

Seq 288 , 1.22ms, Time Mon Mar  7 10:01:10 2016

Seq 289 , 1.23ms, Time Mon Mar  7 10:01:11 2016

Seq 290 , 1.28ms, Time Mon Mar  7 10:01:12 2016

Seq 291 , 1.25ms, Time Mon Mar  7 10:01:13 2016

Seq 292 , 1.22ms, Time Mon Mar  7 10:01:14 2016

Seq 293 , 1.45ms, Time Mon Mar  7 10:01:15 2016

Seq 294 , 1.26ms, Time Mon Mar  7 10:01:16 2016

Seq 295 , 1.24ms, Time Mon Mar  7 10:01:17 2016

Seq 296 , 1.27ms, Time Mon Mar  7 10:01:18 2016

Seq 297 , 1.25ms, Time Mon Mar  7 10:01:19 2016

Seq 298 , 1.25ms, Time Mon Mar  7 10:01:20 2016

Seq 299 , 1.56ms, Time Mon Mar  7 10:01:21 2016

Seq 300 , 1.26ms, Time Mon Mar  7 10:01:22 2016

Seq 301 , 1.23ms, Time Mon Mar  7 10:01:23 2016

Seq 302 , 1.23ms, Time Mon Mar  7 10:01:24 2016

Seq 303 , 1.28ms, Time Mon Mar  7 10:01:25 2016

